Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,130.775537,-85.600138,90.0,bottom
C6,100n,C_0402_1005Metric,141.310343,-91.336235,180.0,bottom
C7,100n,C_0402_1005Metric,130.20675,-84.10575,0.0,bottom
C8,100n,C_0402_1005Metric,140.775,-84.65,180.0,bottom
C9,100n,C_0402_1005Metric,141.29943,-90.289802,180.0,bottom
C10,100n,C_0402_1005Metric,133.886072,-94.225973,270.0,bottom
C11,1u,C_0402_1005Metric,134.889679,-94.233408,270.0,bottom
C12,1u,C_0402_1005Metric,232.56875,-30.596511,0.0,bottom
C13,1u,C_0402_1005Metric,232.56875,-35.944924,0.0,bottom
C14,100n,C_0402_1005Metric,95.25,-83.34375,90.0,bottom
C15,220p,C_0402_1005Metric,123.451464,-91.021881,90.0,bottom
C16,100n,C_0402_1005Metric,132.789679,-94.225973,270.0,bottom
C17,100n,C_0402_1005Metric,181.76875,-83.34375,90.0,bottom
D1,PRTR5V0U2X,SOT-143,239.710621,-33.3375,0.0,bottom
F_USBC1,500mA,Fuse_1206_3216Metric,236.5375,-33.482528,270.0,bottom
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,238.125,-45.24375,180.0,bottom
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,236.12475,-24.44075,180.0,bottom
R2,100k,R_0402_1005Metric,135.73125,-82.95,90.0,bottom
R3,100,R_0402_1005Metric,133.35,-80.897058,270.0,bottom
R4,100,R_0402_1005Metric,131.15625,-80.897058,270.0,bottom
R5,100,R_0402_1005Metric,132.25625,-80.897058,270.0,bottom
R6,100,R_0402_1005Metric,130.05625,-80.897058,270.0,bottom
R7,5k1,R_0402_1005Metric,234.95,-29.36875,270.0,bottom
R8,5k1,R_0402_1005Metric,239.7125,-29.36875,180.0,bottom
R9,10k,R_0402_1005Metric,134.393473,-95.832687,180.0,bottom
R10,10k,R_0402_1005Metric,129.695761,-85.582261,270.0,bottom
R11,10k,R_0402_1005Metric,141.2875,-88.9,180.0,bottom
R12,100k,R_0402_1005Metric,130.45875,-94.3625,180.0,bottom
R13,100k,R_0402_1005Metric,86.00875,-81.75625,180.0,bottom
R14,100k,R_0402_1005Metric,64.342898,-81.75625,180.0,bottom
R15,100k,R_0402_1005Metric,42.57875,-81.75625,180.0,bottom
R16,100k,R_0402_1005Metric,98.425,-78.99794,180.0,bottom
R17,100k,R_0402_1005Metric,107.943663,-81.746059,0.0,bottom
R18,1k,R_0402_1005Metric,125.4125,-94.3625,0.0,bottom
R19,100k,R_0402_1005Metric,182.27675,-80.16875,180.0,bottom
R20,100k,R_0402_1005Metric,170.65625,-81.75625,180.0,bottom
R21,100k,R_0402_1005Metric,156.36875,-81.75625,180.0,bottom
R22,100k,R_0402_1005Metric,187.325,-92.86875,270.0,bottom
R23,100k,R_0402_1005Metric,211.1375,-81.75625,180.0,bottom
R24,100k,R_0402_1005Metric,230.1875,-81.75625,180.0,bottom
R25,100k,R_0402_1005Metric,249.2375,-81.746059,180.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,135.73125,-88.10625,90.0,bottom
U3,XC6206PxxxMR,SOT-23,232.56875,-33.192472,90.0,bottom
U4,74HC4051,TSSOP16,98.425,-88.10625,270.0,bottom
U5,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,127.79375,-91.1875,180.0,bottom
U6,74HC4051,TSSOP16,184.94375,-88.10625,270.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,137.601214,-94.917035,180.0,bottom
